Group,Method,Path,Purpose,Auth/Role,Key Request,Key Response,Notes
Customer Dashboard > Apply > Product Selection,GET,/api/products,Get all available loan products,Bearer user,,"Product[]",Returns active products with details like minAmount/maxAmount/interestRate/fees
Customer Dashboard > Apply > Product Selection,GET,/api/products?code={productCode},Get specific product by code,Bearer user,query: productCode,Product,Returns detailed product information for selected product
Customer Dashboard > Apply > Product Selection,POST,/api/loan-applications,Create new loan application,Bearer user,"productId; appStep=2; product (optional)","LoanApplication with id",Creates initial application with selected product
Customer Dashboard > Apply > Product Selection,PATCH,/api/loan-applications/{id},Update existing application with product selection,Bearer user,"productId; appStep=2; interestRate; originationFee; legalFee; applicationFee; status=INCOMPLETE",LoanApplication,Updates application when changing product selection
Customer Dashboard > Apply > Application Details,GET,/api/loan-applications/{id},Get existing application data for pre-filling,Bearer user,path: applicationId,LoanApplication,Loads saved application data to resume flow
Customer Dashboard > Apply > Application Details,PATCH,/api/loan-applications/{id},Update application with loan details,Bearer user,"amount; term; purpose; monthlyRepayment; interestRate; legalFee; originationFee; netDisbursement; appStep=3",LoanApplication,Saves loan amount/term/purpose and calculated fees
Customer Dashboard > Apply > Personal Info,GET,/api/users/me,Get user personal information,Bearer user,,User profile data,Loads user data for verification step
Customer Dashboard > Apply > Personal Info,PUT,/api/users/me,Update user personal information,Bearer user,"fullName; email; phoneNumber; employmentStatus; employerName; monthlyIncome; serviceLength; address1; address2; city; state; zipCode",Updated user data,Updates user profile with verified information
Customer Dashboard > Apply > Personal Info,PATCH,/api/loan-applications/{id}/step,Update application step after personal info,Bearer user,"appStep=4",LoanApplication,Advances application to document upload step
Customer Dashboard > Apply > Documents,GET,/api/loan-applications/{id}/documents,Get existing uploaded documents,Bearer user,path: applicationId,"Document[]",Returns previously uploaded documents for the application
Customer Dashboard > Apply > Documents,POST,/api/loan-applications/{id}/documents,Upload documents for application,Bearer user,"documents (multipart); documentTypes (JSON array)",Uploaded documents array,Uploads multiple files with their document types
Customer Dashboard > Apply > Documents,DELETE,/api/loan-applications/{id}/documents/{documentId},Delete uploaded document,Bearer user,path: applicationId and documentId,Success message,Removes specific document from application
Customer Dashboard > Apply > Documents,GET,/api/users/me/documents,Get user's previous documents for reuse,Bearer user,,"PreviousDocument[]",Returns user's previously uploaded documents for linking
Customer Dashboard > Apply > Documents,POST,/api/loan-applications/{id}/link-documents,Link previous documents to current application,Bearer user,"documentIds (array); documentTypes (array)","LinkedDocument[]",Links existing user documents to current application
Customer Dashboard > Apply > Documents,PATCH,/api/loan-applications/{id},Update application step after documents,Bearer user,"appStep=5",LoanApplication,Advances application to review step (or skips if no docs required)
Customer Dashboard > Apply > Review & Submit,GET,/api/loan-applications/{id},Get complete application data for review,Bearer user,path: applicationId,Complete LoanApplication with product/documents,Loads all application data for final review
Customer Dashboard > Apply > Review & Submit,PATCH,/api/loan-applications/{id},Submit final application,Bearer user,"acceptTerms=true; status=[PENDING_APPROVAL|COLLATERAL_REVIEW]; appStep=5",LoanApplication,Completes application submission with terms acceptance
Customer Dashboard > Apply > Step Management,PATCH,/api/loan-applications/{id}/step,Update current application step,Bearer user,"step (1-5)",LoanApplication,Updates appStep for navigation and progress tracking
Customer Dashboard > Apply > Step Management,DELETE,/api/loan-applications/{id},Delete incomplete application,Bearer user,path: applicationId,Success message,Allows deletion of incomplete applications only
Customer Dashboard > Apply > Document Preview,GET,/api/loan-applications/{id}/documents/{documentId},View/download uploaded document,Bearer user,path: applicationId and documentId,File stream,Returns document file for viewing/downloading
